Overall,LOW,MODERATE,HIGH
patient,patient,patient,patient
cancer,cancer,today,reports
stage,consistent,grade,currently
consistent,stage,cancer,pt
today,staging,visit,cancer
mg,possible,mg,today
staging,involvement,neutropenia,grade
possible,mg,persistent,worsening
involvement,today,moderate,mg
reports,findings,stage,stage
pt,cycle,pt,neutropenia
cycle,denies,reports,visit
visit,molecular,cycle,cycle
neutropenia,pt,therapy,severe
denies,visit,following,time
currently,pending,currently,therapy
therapy,biopsy,reported,following
grade,lung,time,previously
molecular,neutropenia,previously,reported
bp,therapy,follow,follow
