message,urgency_label,clean_message
"Water rising fast in Zone 5, need rescue boat now for 12 people",Urgent,"water rising fast in zone 5, need rescue boat now for 12 people"
"Minor puddle on main street, no action needed",Routine,"minor puddle on main street, no action needed"
"Family of 4 trapped on roof near river bridge, send help immediately",Urgent,"family of 4 trapped on roof near river bridge, send help immediately"
"Road closed due to light drizzle, traffic slow",Routine,"road closed due to light drizzle, traffic slow"
"SOS elderly couple stuck in car, water at window level, Zone 3",Urgent,"sos elderly couple stuck in car, water at window level, zone 3"
"Streetlight flickering after rain, will check tomorrow",Routine,"streetlight flickering after rain, will check tomorrow"
"Emergency! 20 people stranded at community hall, water entering building",Urgent,"emergency! 20 people stranded at community hall, water entering building"
"Sidewalk slightly wet, no hazard reported",Routine,"sidewalk slightly wet, no hazard reported"
"Help needed urgently, 3 children trapped in flooded basement Zone 7",Urgent,"help needed urgently, 3 children trapped in flooded basement zone 7"
"Weather looks cloudy, no rain expected until evening",Routine,"weather looks cloudy, no rain expected until evening"
"Ambulance required now, injured person near collapsed wall Zone 2",Urgent,"ambulance required now, injured person near collapsed wall zone 2"
"Routine patrol update, all quiet this hour",Routine,"routine patrol update, all quiet this hour"
"Minor water accumulation reported near Zone 2, no people are trapped",Routine,"minor water accumulation reported near zone 2 no people are trapped"
"Residents advised to stay alert and monitor weather updates",Routine,"residents advised to stay alert and monitor weather updates"
"Water level is slightly rising but no immediate danger reported",Routine,"water level is slightly rising but no immediate danger reported"
"Low risk flooding reported, continue monitoring the situation",Routine,"low risk flooding reported continue monitoring the situation"
"No rescue is currently required in Zone 2",Routine,"no rescue is currently required in zone 2"
"Minor flooding near Zone 4, authorities are monitoring the situation",Routine,"minor flooding near zone 4 authorities are monitoring the situation"
"Water is rising near Zone 5 and residents may require assistance",Urgent,"water is rising near zone 5 and residents may require assistance"
"Flood conditions worsening near Zone 6, prepare emergency response",Urgent,"flood conditions worsening near zone 6 prepare emergency response"
"Immediate assistance required for residents trapped by floodwater",Urgent,"immediate assistance required for residents trapped by floodwater"
"Severe flooding reported, rescue teams needed immediately",Urgent,"severe flooding reported rescue teams needed immediately"
"People trapped on rooftop in Zone 7, send rescue boat immediately",Urgent,"people trapped on rooftop in zone 7 send rescue boat immediately"
"Critical flood emergency, multiple people require immediate evacuation",Urgent,"critical flood emergency multiple people require immediate evacuation"
