message,urgency_label
"Water rising fast in Zone 5, need rescue boat now for 12 people",Urgent
"Minor puddle on main street, no action needed",Routine
"Family of 4 trapped on roof near river bridge, send help immediately",Urgent
"Road closed due to light drizzle, traffic slow",Routine
"SOS elderly couple stuck in car, water at window level, Zone 3",Urgent
"Streetlight flickering after rain, will check tomorrow",Routine
"Emergency! 20 people stranded at community hall, water entering building",Urgent
"Sidewalk slightly wet, no hazard reported",Routine
"Help needed urgently, 3 children trapped in flooded basement Zone 7",Urgent
"Weather looks cloudy, no rain expected until evening",Routine
"Ambulance required now, injured person near collapsed wall Zone 2",Urgent
"Routine patrol update, all quiet this hour",Routine
